NRP,TANGGAL,SHIFT,IN,OUT,ROSTER_CODE,KODE_ABSEN
NE17032,14/12/2019,2,17:30,05:30,602,-
NE17032,15/12/2019,2,17:30,05:30,602,-
NE17032,16/12/2019,2,17:30,05:30,602,-
NE17032,17/12/2019,2,17:30,05:30,602,-
NE17032,18/12/2019,2,17:30,05:30,602,-
NE17032,20/12/2019,1,05:30,17:30,602,-
NE17032,22/12/2019,1,05:30,17:30,602,-
NE17032,27/12/2019,2,17:30,05:36,602,-
NE17032,28/12/2019,2,17:30,05:32,602,-
NE17032,29/12/2019,2,17:30,05:31,602,-
NE17032,03/01/2020,1,05:30,17:30,602,-
NE17032,04/01/2020,1,05:30,17:30,602,-
NE17032,05/01/2020,1,05:30,17:30,602,-
NE17050,03/01/2020,1,05:26,17:30,901,-
NE17050,05/01/2020,2,17:28,05:30,901,-
KR16005,12/12/2019,2,18:00,06:00,112,-
KR16005,13/12/2019,2,18:00,06:00,112,-
