NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
TM17125,NE17050,28/11/2019,03:30,05:30,NERUS
TM17125,NE17055,28/11/2019,15:30,17:30,NERUS
TM17125,TM17001,28/11/2019,15:30,17:30,NERUS
TM17125,TM17055,28/11/2019,15:30,17:30,NERUS
TM17125,TM17073,28/11/2019,04:00,06:00,NERUS
TM17125,TM17127,28/11/2019,15:30,17:30,NERUS
TM17125,TM17131,28/11/2019,04:00,06:00,NERUS
TM17125,TM17135,28/11/2019,15:30,17:30,NERUS
TM17125,TM17141,28/11/2019,16:00,18:00,NERUS
TM17125,TM17151,28/11/2019,04:00,06:00,NERUS
TM17125,TM17168,28/11/2019,03:30,05:30,NERUS
TM17125,TM17169,28/11/2019,15:30,17:30,NERUS
TM17125,TM18183,28/11/2019,16:00,18:00,NERUS
TM17125,TM19191,28/11/2019,16:00,18:00,NERUS
TM17125,TM19193,28/11/2019,04:00,06:00,NERUS
TM17125,TM19201,28/11/2019,15:30,17:30,NERUS
TM17125,TM19203,28/11/2019,15:30,17:30,NERUS
TM17125,TM19204,28/11/2019,03:30,05:30,NERUS
TM17125,TM19205,28/11/2019,16:00,18:00,NERUS
TM17125,TM19211,28/11/2019,03:30,05:30,NERUS
TM17125,TM19223,28/11/2019,16:00,18:00,NERUS
TM17125,TM19225,28/11/2019,04:00,06:00,NERUS
TM17125,TM19226,28/11/2019,16:00,18:00,NERUS
NE17015,NE17015,16/11/2019,15:00,19:42,NERUS
NE17015,NE17015,20/11/2019,15:00,19:14,NERUS
