NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
TM17125,KR13056,14/05/2021,18:00,19:00,NERUS
TM17125,KR13057,14/05/2021,18:00,19:00,NERUS
TM17125,KR16008,14/05/2021,18:00,19:00,NERUS
TM17125,KR12002,14/05/2021,05:00,5:30,NERUS
TM17125,KR12004,14/05/2021,17:00,17:30,NERUS
TM17125,KR13011,14/05/2021,05:00,5:30,NERUS
TM17125,KR13032,14/05/2021,05:00,5:30,NERUS
TM17125,KR13038,14/05/2021,17:00,18:30,NERUS
TM17125,KR13052,14/05/2021,05:00,5:30,NERUS
TM17125,KR15005,14/05/2021,17:00,17:30,NERUS
TM17125,KR15011,14/05/2021,05:00,5:30,NERUS
TM17125,KR15022,14/05/2021,05:00,05:27,NERUS
TM17125,KR15036,14/05/2021,17:00,17:30,NERUS
TM17125,KR15040,14/05/2021,05:00,05:30,NERUS
TM17125,KR17002,14/05/2021,05:00,5:45,NERUS
TM17125,KR17004,14/05/2021,05:00,5:30,NERUS
TM17125,KR17010,14/05/2021,17:00,17:30,NERUS
TM17125,KR17017,14/05/2021,17:00,17:30,NERUS
TM17125,KR17018,14/05/2021,17:00,17:30,NERUS
TM17125,KR17020,14/05/2021,17:00,17:30,NERUS
TM17125,KR17023,14/05/2021,17:00,17:30,NERUS
TM17125,KR17024,14/05/2021,05:00,5:30,NERUS
TM17125,KR17025,14/05/2021,05:00,5:30,NERUS
TM17125,KB12143,14/05/2021,16:00,18:00,NERUS
TM17125,KA19006,14/05/2021,16:30,18:30,NERUS
TM17125,KB12142,14/05/2021,05:00,5:45,NERUS
TM17125,KB12204,14/05/2021,16:30,18:30,NERUS
TM17125,KB20001,14/05/2021,05:00,05:30,NERUS
TM17125,KC17004,14/05/2021,16:30,17:30,NERUS
TM17125,KC19004,14/05/2021,05:00,5:30,NERUS
TM17125,KD19009,14/05/2021,16:30,17:30,NERUS
TM17125,KD19016,14/05/2021,05:00,6:30,NERUS
TM17125,KR15041,14/05/2021,16:30,18:57,NERUS
TM17125,KR17014,14/05/2021,05:00,5:40,NERUS
TM17125,KR18004,14/05/2021,16:30,19:0,NERUS
TM17125,KR18005,14/05/2021,05:00,6:30,NERUS
TM17125,KT13056,14/05/2021,05:00,6:30,NERUS
TM17125,KT13082,14/05/2021,16:30,17:30,NERUS
TM17125,KT13084,14/05/2021,05:00,5:45,NERUS
TM17125,KT13110,14/05/2021,05:00,5:30,NERUS
TM17125,KT13111,14/05/2021,05:00,5:45,NERUS
TM17125,KT13131,14/05/2021,05:00,5:45,NERUS
TM17125,KT15001,14/05/2021,05:00,06:30,NERUS
TM17125,KT16082,14/05/2021,05:00,5:38,NERUS
TM17125,KT16092,14/05/2021,05:00,5:45,NERUS
TM17125,KT17024,14/05/2021,05:00,5:45,NERUS
TM17125,KT17034,14/05/2021,05:00,5:45,NERUS
TM17125,KT17041,14/05/2021,05:00,5:38,NERUS
TM17125,KT17043,14/05/2021,16:30,18:30,NERUS
TM17125,KT17047,14/05/2021,16:30,18:30,NERUS
TM17125,KT17060,14/05/2021,16:30,18:30,NERUS
TM17125,KT17061,14/05/2021,05:00,5:45,NERUS
TM17125,KT17063,14/05/2021,16:30,18:30,NERUS
TM17125,KT17066,14/05/2021,16:30,18:30,NERUS
TM17125,KT17067,14/05/2021,05:00,5:38,NERUS
TM17125,KT17069,14/05/2021,05:00,06:30,NERUS
TM17125,KT17070,14/05/2021,16:30,17:30,NERUS
TM17125,KT17071,14/05/2021,05:00,06:00,NERUS
TM17125,KT17074,14/05/2021,16:30,17:30,NERUS
TM17125,KT17075,14/05/2021,05:00,5:30,NERUS
TM17125,KT17106,14/05/2021,05:00,05:30,NERUS
