NRP,TANGGAL,SHIFT,IN,OUT,ROSTER_CODE,KODE_ABSEN
NE15027,17/01/2020,1,05:28,17:32,602,-
TM17007,17/01/2020,1,05:28,17:32,602,-
TM17009,17/01/2020,2,17:28,05:32,602,-
TM17062,17/01/2020,,,,602,E
TM17066,17/01/2020,2,17:28,05:32,602,-
TM17115,17/01/2020,1,05:28,17:32,602,-
TM17133,17/01/2020,2,17:28,05:32,602,-
TM17145,17/01/2020,1,05:28,17:32,602,-
TM17160,17/01/2020,2,17:28,05:32,602,-
TM17163,17/01/2020,,I,I,602,-
TM18180,17/01/2020,,,,602,E
TM18181,17/01/2020,1,05:28,17:32,602,-
KB17105,17/01/2020,1,06:00,18:10,302,-
KB17144,17/01/2020,1,06:00,18:10,302,-
KB11167,17/01/2020,1,07:01,18:19,101,-
NE17044,17/01/2020,1,05:28,18:13,602,-
TM19229,17/01/2020,,,,302,-
TM19227,17/01/2020,,,,302,-
TM19186,17/01/2020,2,17:00,06:00,602,-
KB13012,17/01/2020,1,06:00,18:7,302,-
KB17036,17/01/2020,,,,101,-
KR15042,17/01/2020,1,07:01,18:20,101,-
TM17001,17/01/2020,,S,S,302,-
NE19055,17/01/2020,,,,101,-
TM19214,17/01/2020,1,07:01,18:17,101,-
TM19230,17/01/2020,,,,302,-
