NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
NE17048,KT17061,06/11/2019,15:30,17:30,NERUS
NE17048,KB12155,06/11/2019,3:30,5:30,NERUS
NE17048,KB12198,06/11/2019,3:30,5:30,NERUS
NE17048,KR17018,06/11/2019,3:30,5:00,NERUS
NE17048,KR13006,06/11/2019,3:30,5:30,NERUS
NE17048,KR13056,06/11/2019,3:30,5:30,NERUS
NE17048,KR15003,06/11/2019,3:30,5:30,NERUS
NE17048,KR15014,06/11/2019,3:30,5:30,NERUS
NE17048,KR15023,06/11/2019,3:30,6:00,NERUS
NE17048,KR15027,06/11/2019,3:30,5:30,NERUS
NE17048,KR15032,06/11/2019,3:30,5:30,NERUS
NE17048,KR16005,06/11/2019,3:30,5:30,NERUS
NE17048,KR17012,06/11/2019,3:30,5:30,NERUS
NE17048,KR17014,06/11/2019,3:30,5:30,NERUS
NE17048,KR17022,06/11/2019,3:30,5:30,NERUS
NE17048,KR17024,06/11/2019,3:30,5:30,NERUS
NE17048,KT13021,06/11/2019,3:30,5:30,NERUS
NE17048,KT13062,06/11/2019,3:30,5:30,NERUS
NE17048,KT13080,06/11/2019,3:30,5:30,NERUS
NE17048,KT13082,06/11/2019,3:30,5:30,NERUS
NE17048,KT13083,06/11/2019,3:30,5:30,NERUS
NE17048,KT13096,06/11/2019,3:30,5:30,NERUS
NE17048,KT17008,06/11/2019,3:30,5:30,NERUS
NE17048,KT16082,06/11/2019,3:30,6:00,NERUS
NE17048,KT16086,06/11/2019,3:30,4:30,NERUS
NE17048,KT17024,06/11/2019,3:30,5:30,NERUS
NE17048,KT17028,06/11/2019,3:30,5:30,NERUS
NE17048,KT17043,06/11/2019,3:30,5:30,NERUS
NE17048,KT18073,06/11/2019,15:30,17:30,NERUS
NE17048,KT17060,06/11/2019,3:30,5:30,NERUS
NE17048,KT17066,06/11/2019,3:30,5:30,NERUS
NE17048,KT17070,06/11/2019,3:30,5:00,NERUS
NE17048,KT17074,06/11/2019,3:30,5:00,NERUS
NE17048,KT17105,06/11/2019,3:30,5:30,NERUS
NE17048,KT17112,06/11/2019,3:30,5:30,NERUS
NE17048,KT18002,06/11/2019,3:30,5:30,NERUS
NE17048,KT18005,06/11/2019,3:30,5:30,NERUS
NE17048,KT18006,06/11/2019,3:30,5:30,NERUS
NE17048,KT18008,06/11/2019,3:30,6:30,NERUS
NE17048,KT18011,06/11/2019,3:30,6:0,NERUS
NE17048,KT18013,06/11/2019,3:30,5:30,NERUS
NE17048,KT18014,06/11/2019,3:30,5:30,NERUS
NE17048,KT18015,06/11/2019,3:30,5:30,NERUS
NE17048,KT18018,06/11/2019,3:30,5:30,NERUS
NE17048,KT18019,06/11/2019,3:30,5:30,NERUS
NE17048,KT18051,06/11/2019,3:30,5:30,NERUS
NE17048,KT18054,06/11/2019,3:30,5:30,NERUS
NE17048,KT18056,06/11/2019,3:30,6:0,NERUS
NE17048,KT18058,06/11/2019,3:30,5:30,NERUS
NE17048,KT18060,06/11/2019,3:30,5:30,NERUS
